epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
121,750.959,1.96341,1.43983,0.00475,0.33677,0.254,0.17266,0.03413,2.73614,2.70023,0.01121,0.0015248,0.0015248,0.0015248
122,757.35,1.99757,1.3815,0.0053,0.21631,0.3,0.12685,0.02933,2.52923,2.50096,0.01006,0.00152084,0.00152084,0.00152084
123,763.644,1.9303,1.40508,0.00473,0.12735,0.25544,0.08665,0.02261,2.51313,2.44302,0.00993,0.00151688,0.00151688,0.00151688
124,770.223,1.9003,1.39172,0.00454,0.20261,0.175,0.12211,0.02681,2.4913,2.60761,0.00989,0.00151292,0.00151292,0.00151292
125,776.866,1.90636,1.30837,0.00481,0.29841,0.19162,0.15805,0.03506,2.46577,2.7461,0.00981,0.00150896,0.00150896,0.00150896
126,783.492,2.01425,1.33456,0.00452,0.43055,0.18937,0.19159,0.0474,2.80199,2.68861,0.01105,0.001505,0.001505,0.001505
127,789.949,1.84617,1.27975,0.00481,0.35849,0.25,0.2051,0.05322,2.67395,2.79095,0.01049,0.00150104,0.00150104,0.00150104
128,796.487,2.03217,1.34542,0.00452,0.50107,0.22602,0.23842,0.05547,2.66208,2.79724,0.01065,0.00149708,0.00149708,0.00149708
129,803.156,1.9314,1.37452,0.00465,0.59474,0.2,0.21145,0.04602,2.77893,2.69604,0.01099,0.00149312,0.00149312,0.00149312
130,809.789,1.93158,1.27823,0.00435,0.59012,0.275,0.22042,0.04951,2.71817,2.4128,0.01044,0.00148916,0.00148916,0.00148916
131,816.199,1.8714,1.31601,0.0048,0.44118,0.27637,0.2292,0.05656,2.61845,2.2803,0.0098,0.0014852,0.0014852,0.0014852
132,822.76,1.92983,1.32542,0.00471,0.50111,0.275,0.25215,0.05889,2.69909,2.24166,0.01033,0.00148124,0.00148124,0.00148124
133,829.256,1.93806,1.29938,0.0045,0.57798,0.3,0.30212,0.06101,2.6455,2.21103,0.01022,0.00147728,0.00147728,0.00147728
